date,game,team,scorer,assist_1,assist_2,score_state,period,type
2026-03-30,TOR@ANA,ANA,Carlsson,Terry,Zellweger,0-1,1st,ES
2026-03-30,TOR@ANA,ANA,Gauthier,Granlund,Kreider,0-2,1st,PP
2026-03-30,TOR@ANA,TOR,Tavares,Nylander,Ekman-Larsson,1-2,1st,PP
2026-03-30,TOR@ANA,ANA,J.Carlson,LaCombe,Sennecke,1-3,1st,SH
2026-03-30,TOR@ANA,TOR,Knies,Nylander,Ekman-Larsson,2-3,1st,PP
2026-03-30,TOR@ANA,TOR,Nylander,Cowan,—,3-3,1st,ES
2026-03-30,TOR@ANA,TOR,Rielly,Nylander,Tavares,4-3,1st,SH
2026-03-30,TOR@ANA,ANA,Carlsson,Trouba,LaCombe,4-4,1st,PP
2026-03-30,TOR@ANA,TOR,Tavares,Rielly,Cowan,5-4,OT,OT
2026-03-30,STL@SJS,STL,Lindstein,Neighbours,—,1-0,1st,ES
2026-03-30,STL@SJS,SJS,Wennberg,Celebrini,Toffoli,1-1,1st,PP
2026-03-30,STL@SJS,SJS,Celebrini,Orlov,Wennberg,1-2,1st,PP
2026-03-30,STL@SJS,STL,Buchnevich,Neighbours,—,2-2,1st,ES
2026-03-30,STL@SJS,SJS,Celebrini,Leddy,W.Smith,2-3,1st,ES
2026-03-30,STL@SJS,SJS,Wennberg,Toffoli,W.Smith,2-4,1st,PP
2026-03-30,STL@SJS,STL,Broberg,Holloway,Thomas,3-4,1st,PP
2026-03-30,STL@SJS,STL,Fowler,Kyrou,Suter,4-4,1st,PP
2026-03-30,STL@SJS,SJS,Gaudette,Ferraro,Desharnais,4-5,1st,ES
2026-04-02,TOR@SJS,SJS,Ostapchuk,Goodrow,Orlov,0-1,1st,ES
2026-04-02,TOR@SJS,SJS,Graf,Misa,Toffoli,0-2,1st,ES
2026-04-02,TOR@SJS,SJS,Eklund,Wennberg,Sherwood,0-3,1st,ES
2026-04-02,TOR@SJS,TOR,Tavares,Cowan,Nylander,1-3,1st,PP
2026-04-02,TOR@SJS,SJS,Gaudette,Eklund,Ostapchuk,1-4,1st,EN
2026-04-02,NSH@LAK,NSH,Forsberg,Marchessault,Haula,1-0,1st,ES
2026-04-02,NSH@LAK,NSH,L'Heureux,Skjei,—,2-0,1st,ES
2026-04-02,NSH@LAK,NSH,Marchessault,Wood,Barron,3-0,1st,ES
2026-04-02,NSH@LAK,LAK,Kempe,Panarin,—,3-1,1st,ES
2026-04-02,NSH@LAK,NSH,Stamkos,O'Reilly,Josi,4-1,1st,ES
2026-04-02,NSH@LAK,LAK,Kempe,Edmundson,Kopitar,4-2,1st,ES
2026-04-02,NSH@LAK,LAK,Laughton,Armia,Anderson,4-3,1st,ES
2026-04-02,NSH@LAK,LAK,Armia,Wright,Dumoulin,4-4,1st,ES
2026-04-03,STL@ANA,ANA,Poehling,McTavish,Zellweger,0-1,1st,ES
2026-04-03,STL@ANA,STL,Thomas,Broberg,Parayko,1-1,1st,ES
2026-04-03,STL@ANA,STL,Holloway,Neighbours,Thomas,2-1,1st,PP
2026-04-03,STL@ANA,ANA,Viel,Poehling,Helleson,2-2,1st,ES
2026-04-03,STL@ANA,STL,Berggren,Suter,—,3-2,1st,ES
2026-04-03,STL@ANA,STL,Suter,Tucker,Neighbours,4-2,1st,ES
2026-04-03,STL@ANA,STL,Parayko,Dvorsky,Kyrou,5-2,1st,ES
2026-04-03,STL@ANA,STL,Holloway,Thomas,Broberg,6-2,1st,PP
2026-04-04,NSH@SJS,NSH,Forsberg,Marchessault,Josi,1-0,1st,PP
2026-04-04,NSH@SJS,NSH,Forsberg,Wood,Wilsby,2-0,1st,ES
2026-04-04,NSH@SJS,NSH,Stamkos,Forsberg,Josi,3-0,1st,PP
2026-04-04,NSH@SJS,SJS,Leddy,Eklund,—,3-1,1st,ES
2026-04-04,NSH@SJS,SJS,Celebrini,Graf,Leddy,3-2,1st,ES
2026-04-04,NSH@SJS,SJS,Wennberg,Orlov,—,3-3,1st,ES
2026-04-04,NSH@SJS,NSH,O'Reilly,Evangelista,Jost,4-3,1st,ES
2026-04-04,NSH@SJS,NSH,Haula,Jost,—,5-3,1st,SH
2026-04-04,NSH@SJS,NSH,Jost,O'Reilly,Wilsby,6-3,1st,EN
2026-04-04,CGY@ANA,ANA,Sennecke,LaCombe,Trouba,0-1,1st,ES
2026-04-04,CGY@ANA,CGY,Farabee,Gridin,Bahl,1-1,1st,ES
2026-04-04,CGY@ANA,CGY,Strome,Pospisil,Olofsson,2-1,1st,ES
2026-04-04,CGY@ANA,CGY,Gridin,Farabee,Brzustewicz,3-1,1st,ES
2026-04-04,CGY@ANA,CGY,Frost,Määttä,Coleman,4-1,1st,ES
2026-04-04,CGY@ANA,ANA,Carlsson,—,—,4-2,1st,ES
2026-04-04,CGY@ANA,ANA,McTavish,Killorn,—,4-3,1st,PP
2026-04-04,CGY@ANA,CGY,Frost,Coronato,—,5-3,1st,EN
2026-04-04,TOR@LAK,TOR,Knies,Domi,—,1-0,1st,ES
2026-04-04,TOR@LAK,TOR,Lorentz,—,—,2-0,1st,SH
2026-04-04,TOR@LAK,LAK,Byfield,Wright,Moore,2-1,1st,ES
2026-04-04,TOR@LAK,LAK,Kempe,Anderson,—,2-2,1st,ES
2026-04-04,TOR@LAK,TOR,Tavares,Nylander,Knies,3-2,1st,PP
2026-04-04,TOR@LAK,LAK,Panarin,Clarke,Kempe,3-3,1st,ES
2026-04-04,TOR@LAK,TOR,Cowan,Tavares,Knies,4-3,1st,PP
2026-04-04,TOR@LAK,LAK,Kempe,Panarin,Edmundson,4-4,1st,ES
2026-04-04,TOR@LAK,LAK,Helenius,Ward,Ceci,4-5,1st,ES
2026-04-04,TOR@LAK,LAK,Laferriere,Moore,—,4-6,1st,ES
