date,game,team,scorer,assist_1,assist_2,type,period_time,notes
2026-03-22,CAR vs PIT,CAR,Aho (25),,,PP,G1,47 sec in
2026-03-22,CAR vs PIT,CAR,Ehlers,Jarvis,,PP,G2,Jarvis A1
2026-03-22,CAR vs PIT,CAR,Chatfield (2),Chinakhov (tip),,ES,G3,
2026-03-22,CAR vs PIT,CAR,Jarvis,Ehlers,Wotherspoon,PP,G4,Ehlers A1
2026-03-22,CAR vs PIT,CAR,Jankowski,,,ES,G6,EN
2026-03-22,CAR vs PIT,PIT,Chinakhov (16),Bryan Rust,,ES,G5,
2026-03-22,COL vs WSH,COL,Landeskog (10),Necas,,ES,G2,Necas A1
2026-03-22,COL vs WSH,COL,Roy,,,ES,G3,
2026-03-22,COL vs WSH,COL,Nelson (32),Necas,,OT,G5-OT,OTG; Necas A1
2026-03-22,COL vs WSH,WSH,Sourdif (14),,,ES,G1,
2026-03-22,COL vs WSH,WSH,Ovechkin (26/923),Strome,Cole Hutson,PP,G4,1000th combined goal
2026-03-22,WPG vs NYR,NYR,Kartye,JT Miller,,ES,G1,
2026-03-22,WPG vs NYR,NYR,Zibanejad (30),Adam Fox,JT Miller,PP,G2,
2026-03-22,WPG vs NYR,WPG,Lowry,Perfetti,,ES,G1,PP2 unit connection
2026-03-22,WPG vs NYR,WPG,Vilardi (27),Kyle Connor,Josh Morrissey,PP,G2,PP1 chain
2026-03-23,OTT vs NYR,NYR,Sheary,Kartye,,ES,G3,
2026-03-23,OTT vs NYR,OTT,Pinto,Giroux,,PP,G1,
2026-03-23,OTT vs NYR,OTT,Foegele (5),Eller,,ES,G2,
2026-03-24,CAR vs MTL,CAR,Ehlers (PPG),Matheson deflection,,PP,G1,
2026-03-24,CAR vs MTL,CAR,Staal,,,ES,G2,Unassisted
2026-03-24,CAR vs MTL,MTL,Kapanen,Struble,,ES,G3,
2026-03-24,CAR vs MTL,MTL,Caufield (44),Suzuki,,ES,G4,
2026-03-24,CAR vs MTL,MTL,Slafkovsky,Caufield,Dobson,ES,G5,
2026-03-24,CAR vs MTL,MTL,Demidov,,,ES,G6,Breakaway
2026-03-24,CAR vs MTL,MTL,Evans,,,EN,G7,
2026-03-24,CBJ vs PHI,CBJ,Werenski,Severson,,ES,G2,
2026-03-24,CBJ vs PHI,CBJ,Olivier,,,ES,G3,
2026-03-24,CBJ vs PHI,CBJ,Marchment,Marchenko,,ES,G4,Marchenko 100th assist
2026-03-24,CBJ vs PHI,PHI,Couturier,Glendening,Ristolainen,ES,G1,Couturier return from injury
2026-03-24,CBJ vs PHI,PHI,(2nd PHI goal),,,ES,G5,
2026-03-24,COL vs PIT,COL,MacKinnon (46),,,ES,G1,Partial breakaway
2026-03-24,COL vs PIT,COL,Necas (1),Makar,,ES,G3,Makar 499 pts
2026-03-24,COL vs PIT,COL,Malinski,,,ES,G4,
2026-03-24,COL vs PIT,COL,Parker Kelly,,,ES,G5,
2026-03-24,COL vs PIT,COL,Necas (2),,,ES,G7,
2026-03-24,COL vs PIT,COL,Colton,,,EN,G8,
2026-03-24,COL vs PIT,PIT,Chinakhov (17),Girard,,ES,G2,
2026-03-24,COL vs PIT,PIT,Rakell,Letang,,ES,G6,Letang 800 pts
2026-03-24,EDM vs UTA,EDM,Roslovic (1),Walman,,ES,G2,
2026-03-24,EDM vs UTA,EDM,Savoie (SHG),Bouchard,,SH,G3,
2026-03-24,EDM vs UTA,EDM,McDavid (400),Ekholm,Bouchard,ES,G5,400th career goal; 1199th pt
2026-03-24,EDM vs UTA,EDM,Roslovic (2),Hyman,,ES,G6,Off post rebound
2026-03-24,EDM vs UTA,EDM,McDavid (401/EN),,,EN,G7,1200th career point
2026-03-24,EDM vs UTA,UTA,Kerfoot,Durzi,,ES,G1,Deflected off Murphy
2026-03-24,EDM vs UTA,UTA,Crouse (PPG),Carcone,,PP,G4,
2026-03-24,OTT vs DET,DET,Shine,Edvinsson,DeBrincat,ES,G4,DeBrincat 7-game pt streak
2026-03-24,OTT vs DET,DET,Larkin (PPG),,,PP,G5,Return from injury (out since Mar 6)
2026-03-24,OTT vs DET,OTT,Tkachuk (20),Stützle,Yakemchuk,PP,G1,Yakemchuk 1st NHL point
2026-03-24,OTT vs DET,OTT,Yakemchuk (1),,,ES,G2,NHL debut goal
2026-03-24,OTT vs DET,OTT,Eller (4),,,ES,G3,
2026-03-24,TOR vs BOS,BOS,E.Lindholm,,,ES,G3,
2026-03-24,TOR vs BOS,BOS,McAvoy,,,PP,G5,
2026-03-24,TOR vs BOS,TOR,Domi,,,ES,G1,
2026-03-24,TOR vs BOS,TOR,Knies (1),,,SH,G2,SHG
2026-03-24,TOR vs BOS,TOR,Nylander,Tavares,,ES,G4,Tavares 3A total
2026-03-24,TOR vs BOS,TOR,Knies (2),,,EN-PP,G6,
2026-03-24,WPG vs VGK,VGK,Sissons,Andersson,,PP,G4,
2026-03-24,WPG vs VGK,WPG,Connor (32),Morrissey,Scheifele,ES,G1,
2026-03-24,WPG vs VGK,WPG,Iafallo (12),Scheifele,,ES,G2,
2026-03-24,WPG vs VGK,WPG,Perfetti (10),Vilardi,,ES,G3,3-on-1 saucer
2026-03-24,WPG vs VGK,WPG,Scheifele (EN),,,EN,G5,Gordie Howe hat trick
2026-03-25,BOS vs BUF,BOS,Pastrnak,Minten,Khusnutdinov,ES,P1 08:53,
2026-03-25,BOS vs BUF,BOS,Arvidsson,Pastrnak,Zadorov,ES,P2 10:15,
2026-03-25,BOS vs BUF,BOS,Mittelstadt,Aspirot,Zacha,ES,P3 06:00,tied 3-3
2026-03-25,BOS vs BUF,BOS,Zacha (OT),Pastrnak,McAvoy,OT,OT 04:22,Pastrnak 3-pt night
2026-03-25,BOS vs BUF,BUF,Zucker (1/PPG),Thompson,Jack Quinn,PP,P1 04:42,Lindholm penalty
2026-03-25,BOS vs BUF,BUF,Benson,,,ES,P3 14:39,unassisted
2026-03-25,BOS vs BUF,BUF,Zucker (2/PPG),Thompson,,PP,P3 14:06,Lohrei penalty
2026-03-25,NYR vs TOR,NYR,Lafreniere (PPG),JT Miller,Adam Fox,PP,P1,EKL slashing penalty
2026-03-25,NYR vs TOR,NYR,Zibanejad (1),Lafreniere,,PP,P2,EKL slashing
2026-03-25,NYR vs TOR,NYR,Zibanejad (2),Perreault,,ES,P2,1:07 after Tavares goal
2026-03-25,NYR vs TOR,TOR,McCabe,Maccelli,,ES,P1,Maccelli A; rebound from Maccelli shot
2026-03-25,NYR vs TOR,TOR,Robertson,Domi,,ES,P1,Domi backhand feed
2026-03-25,NYR vs TOR,TOR,Joshua,Maccelli,Woll,ES,P2,Woll 1st NHL point
2026-03-25,NYR vs TOR,TOR,Tavares (26),,,ES,P3,Unassisted; 3rd-period go-ahead
2026-03-26,ANA vs CGY,ANA,Granlund,Carlsson,,ES,G1,Hat trick G1
2026-03-26,ANA vs CGY,ANA,Granlund,Terry,,ES,G3,Hat trick G2
2026-03-26,ANA vs CGY,ANA,Granlund,Carlsson,,OT,G5-OT,Hat trick G3; 1s left in OT
2026-03-26,ANA vs CGY,CGY,Coleman,Backlund,,ES,G2,
2026-03-26,ANA vs CGY,CGY,(CGY tied),,,ES,G4,
2026-03-26,CBJ vs MTL,CBJ,Severson,Lundestrom,Jenner,ES,G2,
2026-03-26,CBJ vs MTL,MTL,Struble,Bolduc,Hutson,ES,G1,Bolduc A1; Hutson A2
2026-03-26,CBJ vs MTL,MTL,Bolduc,Matheson,Evans,ES,G3,Winner in 3rd
2026-03-26,CHI vs PHI,CHI,Bedard,Frondell,Crevier,ES,G2,Bedard 30th goal career-high
2026-03-26,CHI vs PHI,PHI,Bump,Couturier,,ES,G1,Early goal
2026-03-26,CHI vs PHI,PHI,Dvorak,,,ES,G3,
2026-03-26,CHI vs PHI,PHI,Konecny,,,ES,G4,
2026-03-26,CHI vs PHI,PHI,Zegras,,,ES,G5,
2026-03-26,CHI vs PHI,PHI,(EN),,,EN,G6,
2026-03-26,COL vs WPG,COL,Drury,,,ES,G1,
2026-03-26,COL vs WPG,COL,MacKinnon,Makar,,PP,G4,Makar A1; MacKinnon PPG
2026-03-26,COL vs WPG,COL,MacKinnon,,,ES,G5,2nd goal of night; 48 goals season
2026-03-26,COL vs WPG,WPG,Scheifele,,,ES,G2,1st goal
2026-03-26,COL vs WPG,WPG,Scheifele,,,ES,G3,2nd goal
2026-03-26,DAL vs NYI,DAL,(DAL tied),,,ES,G2,
2026-03-26,DAL vs NYI,NYI,Schaefer,Barzal,,PP,G1,Schaefer PPG rookie D
2026-03-26,DAL vs NYI,NYI,Holmstrom,,,ES,G3,Winner
2026-03-26,EDM vs VGK,EDM,Savoie,McDavid,,ES,G1,McDavid A (800th career assist)
2026-03-26,EDM vs VGK,EDM,McDavid,,,ES,G3,3-on-1 rush
2026-03-26,EDM vs VGK,EDM,Hyman,McDavid,,ES,G5,McDavid A; Hyman strip in front
2026-03-26,EDM vs VGK,EDM,Bouchard,McDavid,,OT,G7-OT,McDavid FO draw to Bouchard
2026-03-26,EDM vs VGK,VGK,Stone,Barbashev,,ES,G2,1st goal
2026-03-26,EDM vs VGK,VGK,Stone,,,ES,G4,Short breakaway 2nd goal
2026-03-26,EDM vs VGK,VGK,Barbashev,Dorofeyev,,ES,G6,Rebound rush
2026-03-26,LAK vs VAN,LAK,Panarin,Kopitar,,ES,G1,Kuemper shutout
2026-03-26,LAK vs VAN,LAK,Byfield,Laferriere,,ES,G2,
2026-03-26,LAK vs VAN,LAK,(LAK G3),,,ES,G3,
2026-03-26,LAK vs VAN,LAK,(EN),,,EN,G4,
2026-03-26,MIN vs FLA,FLA,M.Tkachuk,,,SH,G2,Shorthanded goal
2026-03-26,MIN vs FLA,FLA,(FLA tied),,,ES,G3,
2026-03-26,MIN vs FLA,MIN,Foligno,,,ES,G1,First game back from injury
2026-03-26,MIN vs FLA,MIN,ErikssonEk,,,ES,G4,Winner 4.4s left; was listed OUT
2026-03-26,NJD vs NSH,NJD,Bratt,Hughes,,ES,G1,Redirection goal
2026-03-26,NJD vs NSH,NJD,Hischier,Bratt,,ES,G2,Tip/screen; Bratt shot
2026-03-26,NJD vs NSH,NJD,Hischier,Hughes,,PP,G5,Deflection; Hamilton QB'd
