date,game,team,period,time,strength,scorer,assist1,assist2
"2026-04-11","TBL@BOS","BOS","2","10:47","ES","Morgan Geekie","Charlie McAvoy",""
"2026-04-11","TBL@BOS","TBL","3","06:37","ES","Brandon Hagel","Gage Goncalves","Ryan McDonagh"
"2026-04-11","TBL@BOS","TBL","3","18:25","ES","Emil Lilleberg","Jake Guentzel","Brayden Point"
"2026-04-11","OTT@NYI","OTT","1","13:06","SH","Ridly Greig","Michael Amadio",""
"2026-04-11","OTT@NYI","OTT","3","12:36","PP","Jake Sanderson","Dylan Cozens","Tim Stützle"
"2026-04-11","OTT@NYI","OTT","3","17:29","EN","Michael Amadio","Shane Pinto","Ridly Greig"
"2026-04-11","WSH@PIT","WSH","2","01:39","ES","Aliaksei Protas","Ilya Protas",""
"2026-04-11","WSH@PIT","PIT","2","02:05","ES","Anthony Mantha","Ryan Shea","Tommy Novak"
"2026-04-11","WSH@PIT","WSH","2","06:02","ES","Ryan Leonard","Pierre-Luc Dubois","Connor McMichael"
"2026-04-11","WSH@PIT","WSH","2","08:08","ES","Tom Wilson","Ilya Protas","Aliaksei Protas"
"2026-04-11","WSH@PIT","PIT","2","11:47","ES","Noel Acciari","Elmer Soderblom","Samuel Girard"
"2026-04-11","WSH@PIT","WSH","2","11:58","ES","Ryan Leonard","Cole Hutson","Justin Sourdif"
"2026-04-11","WSH@PIT","PIT","2","16:50","ES","Kevin Hayes","Ryan Shea",""
"2026-04-11","WSH@PIT","WSH","3","05:56","PP","Ilya Protas","Cole Hutson","Dylan Strome"
"2026-04-11","WSH@PIT","WSH","3","16:22","EN","Alex Ovechkin","Tom Wilson",""
"2026-04-11","EDM@LAK","LAK","1","07:34","ES","Artemi Panarin","unassisted",""
"2026-04-11","NJD@DET","DET","1","09:41","ES","Justin Faulk","Dylan Larkin","Emmitt Finnie"
"2026-04-11","NJD@DET","NJD","1","10:40","ES","Jack Hughes","Jesper Bratt",""
"2026-04-11","NJD@DET","DET","2","11:59","ES","David Perron","J.T. Compher",""
"2026-04-11","NJD@DET","NJD","2","15:16","ES","Jesper Bratt","Johnathan Kovacevic","Dennis Cholowski"
"2026-04-11","NJD@DET","DET","3","07:00","ES","Emmitt Finnie","Lucas Raymond","Dylan Larkin"
"2026-04-11","NJD@DET","NJD","3","11:18","ES","Cody Glass","Timo Meier","Jonas Siegenthaler"
"2026-04-11","NJD@DET","NJD","3","16:26","ES","Jesper Bratt","Jack Hughes","Connor Brown"
"2026-04-11","NJD@DET","NJD","3","19:00","EN","Dawson Mercer","Nico Hischier","Dougie Hamilton"
"2026-04-11","STL@CHI","STL","1","09:26","ES","Jimmy Snuggerud","Tyler Tucker","Dylan Holloway"
"2026-04-11","STL@CHI","CHI","1","15:07","ES","Ryan Greene","Connor Bedard",""
"2026-04-11","STL@CHI","CHI","2","03:04","ES","Ilya Mikheyev","Sacha Boisvert",""
"2026-04-11","STL@CHI","STL","2","04:10","ES","Alexey Toropchenko","Pius Suter","Oskar Sundqvist"
"2026-04-11","STL@CHI","STL","2","12:06","PP","Jordan Kyrou","Logan Mailloux","Pavel Buchnevich"
"2026-04-11","STL@CHI","STL","2","17:20","ES","Cam Fowler","Jonatan Berggren","Tyler Tucker"
"2026-04-11","STL@CHI","STL","3","07:04","ES","Dalibor Dvorsky","Jake Neighbours","Jonatan Berggren"
"2026-04-11","STL@CHI","CHI","3","13:35","ES","Ilya Mikheyev","Tyler Bertuzzi","Anton Frondell"
"2026-04-11","MIN@NSH","NSH","1","15:01","ES","Steven Stamkos","Luke Evangelista","Ryan O'Reilly"
"2026-04-11","MIN@NSH","NSH","2","06:34","ES","Matthew Wood","Steven Stamkos","Nick Perbix"
"2026-04-11","MIN@NSH","MIN","3","06:54","ES","Michael McCarron","Jonas Brodin",""
"2026-04-11","NYR@DAL","DAL","3","12:49","PP","Jason Robertson","Matt Duchene","Wyatt Johnston"
"2026-04-11","NYR@DAL","DAL","3","19:01","EN","Jason Robertson","Matt Duchene","Mavrik Bourque"
"2026-04-11","CAR@UTA","CAR","1","04:25","PP","Andrei Svechnikov","Nikolaj Ehlers","Shayne Gostisbehere"
"2026-04-11","CAR@UTA","CAR","1","13:23","ES","Jordan Staal","Nikolaj Ehlers","Jordan Martinook"
"2026-04-11","CAR@UTA","UTA","3","02:42","PP","Dylan Guenther","Clayton Keller","Mikhail Sergachev"
"2026-04-11","CAR@UTA","CAR","3","15:31","ES","Sebastian Aho","Shayne Gostisbehere","Jaccob Slavin"
"2026-04-11","CAR@UTA","CAR","3","19:37","EN","Sean Walker","Jordan Martinook","Jordan Staal"
"2026-04-11","FLA@TOR","FLA","1","00:23","ES","Eetu Luostarinen","Mackie Samoskevich",""
"2026-04-11","FLA@TOR","FLA","1","05:32","ES","Cole Reinhardt","Donovan Sebrango","Vinnie Hinostroza"
"2026-04-11","FLA@TOR","FLA","2","01:32","ES","Tomas Nosek","Marek Alscher",""
"2026-04-11","FLA@TOR","TOR","2","10:55","PP","William Nylander","John Tavares","Easton Cowan"
"2026-04-11","FLA@TOR","TOR","2","13:16","ES","William Nylander","unassisted",""
"2026-04-11","FLA@TOR","FLA","3","04:13","ES","Mackie Samoskevich","A.J. Greer","Eetu Luostarinen"
"2026-04-11","FLA@TOR","FLA","3","15:56","EN","A.J. Greer","Eetu Luostarinen","Mackie Samoskevich"
"2026-04-11","FLA@TOR","FLA","3","18:07","EN","Tomas Nosek","Noah Gregor",""
"2026-04-11","CBJ@MTL","CBJ","1","01:13","ES","Boone Jenner","Zach Werenski","Danton Heinen"
"2026-04-11","CBJ@MTL","CBJ","1","05:42","ES","Charlie Coyle","Jake Christiansen","Mason Marchment"
