date,type,player,team,duo_tier,blanks,l5_pts,result,break_type,chain_detail
2026-04-14,hot_duo_STRONG,Chris Kreider + Leo Carlsson,ANA,STRONG,,3+3,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Chris Kreider + Alex Killorn,ANA,PP_LINK,,3+3,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Chris Kreider + Mason McTavish,ANA,PP_LINK,,3+4,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Chris Kreider + Cutter Gauthier,ANA,PP_LINK,,3+5,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Alex Killorn + Mason McTavish,ANA,PP_LINK,,3+4,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Alex Killorn + Cutter Gauthier,ANA,PP_LINK,,3+5,L,no_chain_overlap,
2026-04-14,hot_duo_ELITE_PP2,Mason McTavish + Cutter Gauthier,ANA,ELITE_PP2,,4+5,W,chain_overlap,ANA@MIN P3 19:14 PP
2026-04-14,hot_duo_STRONG,Tage Thompson + Alex Tuch,BUF,STRONG,,3+5,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Tage Thompson + Jason Zucker,BUF,PP_LINK,,3+6,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Tage Thompson + Josh Norris,BUF,PP_LINK,,3+6,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Alex Tuch + Ryan McLeod,BUF,PP_LINK,,5+4,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Alex Tuch + Josh Doan,BUF,PP_LINK,,5+5,L,no_chain_overlap,
2026-04-14,hot_duo_STRONG,Jason Zucker + Ryan McLeod,BUF,STRONG,,6+4,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Jason Zucker + Josh Norris,BUF,PP_LINK,,6+6,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Ryan McLeod + Josh Doan,BUF,PP_LINK,,4+5,L,no_chain_overlap,
2026-04-14,hot_duo_STRONG,Josh Norris + Josh Doan,BUF,STRONG,,6+5,L,no_chain_overlap,
2026-04-14,hot_duo_ELITE,Taylor Hall + Logan Stankoven,CAR,ELITE,,6+7,L,no_chain_overlap,
2026-04-14,hot_duo_ELITE,Taylor Hall + Jackson Blake,CAR,ELITE,,6+7,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Taylor Hall + Nikolaj Ehlers,CAR,PP_LINK,,6+6,L,no_chain_overlap,
2026-04-14,hot_duo_ELITE,Logan Stankoven + Jackson Blake,CAR,ELITE,,7+7,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Logan Stankoven + Nikolaj Ehlers,CAR,PP_LINK,,7+6,W,chain_overlap,CAR@NYI P1 03:05 ES
2026-04-14,hot_duo_PP_LINK,Jackson Blake + Nikolaj Ehlers,CAR,PP_LINK,,7+6,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Adam Fantilli + Mason Marchment,CBJ,PP_LINK,,4+4,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Blake Coleman + Morgan Frost,CGY,PP_LINK,,4+3,L,no_chain_overlap,
2026-04-14,hot_duo_ELITE,Wyatt Johnston + Mikko Rantanen,DAL,ELITE,,6+4,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Wyatt Johnston + Jason Robertson,DAL,PP_LINK,,6+7,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Wyatt Johnston + Matt Duchene,DAL,PP_LINK,,6+6,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Wyatt Johnston + Thomas Harley,DAL,PP_LINK,,6+3,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Mikko Rantanen + Jason Robertson,DAL,PP_LINK,,4+7,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Mikko Rantanen + Matt Duchene,DAL,PP_LINK,,4+6,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Mikko Rantanen + Thomas Harley,DAL,PP_LINK,,4+3,L,no_chain_overlap,
2026-04-14,hot_duo_ELITE,Jason Robertson + Matt Duchene,DAL,ELITE,,7+6,L,no_chain_overlap,
2026-04-14,hot_duo_STRONG,Jason Robertson + Mavrik Bourque,DAL,STRONG,,7+5,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Jason Robertson + Thomas Harley,DAL,PP_LINK,,7+3,L,no_chain_overlap,
2026-04-14,hot_duo_STRONG,Matt Duchene + Mavrik Bourque,DAL,STRONG,,6+5,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Matt Duchene + Thomas Harley,DAL,PP_LINK,,6+3,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Dylan Larkin + Alex DeBrincat,DET,PP_LINK,,9+4,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Dylan Larkin + Patrick Kane,DET,PP_LINK,,9+7,L,no_chain_overlap,
2026-04-14,hot_duo_ELITE,Alex DeBrincat + Patrick Kane,DET,ELITE,,4+7,L,no_chain_overlap,
2026-04-14,hot_duo_PP_LINK,Connor McDavid + Evan Bouchard,EDM,PP_LINK,,8+5,L,no_chain_overlap,
2026-04-14,hot_duo_ELITE,Mackie Samoskevich + Eetu Luostarinen,FLA,ELITE,,4+5,L,no_chain_overlap,
2026-04-14,hot_duo_ELITE,Artemi Panarin + Adrian Kempe,LAK,ELITE,,6+7,W,chain_overlap,LAK@VAN P2 01:04 ES
2026-04-14,hot_duo_PP_LINK,Artemi Panarin + Alex Laferriere,LAK,PP_LINK,,6+4,L,both_active_no_chain,
2026-04-14,hot_duo_PP_LINK,Adrian Kempe + Alex Laferriere,LAK,PP_LINK,,7+4,L,both_active_no_chain,
2026-04-14,hot_duo_ELITE_PP2,Trevor Moore + Quinton Byfield,LAK,ELITE_PP2,,5+4,W,chain_overlap,LAK@VAN P1 17:15 ES
2026-04-14,hot_duo_STRONG,Trevor Moore + Alex Laferriere,LAK,STRONG,,5+4,W,chain_overlap,LAK@VAN P1 17:15 ES
2026-04-14,hot_duo_STRONG,Quinton Byfield + Alex Laferriere,LAK,STRONG,,4+4,W,chain_overlap,LAK@VAN P1 17:15 ES
2026-04-14,hot_duo_PP_LINK,Vladimir Tarasenko + Marcus Johansson,MIN,PP_LINK,,3+3,L,both_active_no_chain,
